TransID;Tower;Name;Date;Hour;HabitatType;Harvest;Type;Height;Freshness;Phen;Weather;Temperature;OrthCaeS;OrthCaeM;OrthCaeL;OrthEnsS;OrthEnsM;OrthEnsL;OrthUnkS;OrthUnkM;OrthUnkL;LepS;LepM;LepL;ColS;ColM;ColL;DipS;DipM;DipL;AntS;AntM;AntL;OthS;OthM;OthL;Total;Divers
1;Cadolles;AJ;12/06/2023;12:01;FieldLimit;Yes;grass;Short;dry;nonrep;Cloudy;24;1;1;0;1;0;0;2;0;0;0;2;0;0;0;0;1;0;0;9;0;0;4;1;0;22;0.375
2;Cadolles;AJ;12/06/2023;12:07;FieldLimit;Yes;grass;Short;dry;nonrep;Cloudy;24;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;19;0;0;1;0;0;26;0.25
3;Cadolles;AJ;01/06/2023;13:07;FieldLimit;Yes;grass;Tall;dry;seeds;Cloudy;19;7;2;0;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0;6;0;0;4;0;0;25;0.25
3;Cadolles;AJ;12/06/2023;12:13;FieldLimit;Yes;grass;Tall;dry;both;Cloudy;24;1;1;0;0;0;0;2;2;0;0;0;0;0;0;0;3;0;0;5;0;0;1;0;0;15;0.291666667
4;Cadolles;AJ;01/06/2023;13:17;Wild;No;grass;Short;dry;seeds;Cloudy;19;2;1;0;0;0;0;3;2;0;0;0;0;0;0;0;2;0;0;165;0;0;6;0;0;181;0.291666667
4;Cadolles;AJ;12/06/2023;12:19;Wild;No;grass;Tall;dry;seeds;Cloudy;24;3;1;0;0;0;0;1;0;0;0;2;0;1;0;0;11;0;0;214;0;0;1;0;0;234;0.333333333
5;Cadolles;AJ;01/06/2023;13:12;Wild;No;shrubs;NA;dry;nonrep;Cloudy;19;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;1;0;0;4;0;0;13;0.208333333
5;Cadolles;AJ;12/06/2023;12:25;Wild;No;shrubs;NA;dry;flowers;Cloudy;24;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;11;0;0;4;0;0;1;0;0;18;0.208333333
6;Cadolles;AJ;01/06/2023;13:22;Wild;No;shrubs;NA;dry;both;Cloudy;19;4;2;0;0;0;0;0;0;0;0;2;0;1;0;0;2;0;0;9;0;0;3;1;0;24;0.333333333
6;Cadolles;AJ;12/06/2023;12:30;Wild;No;shrubs;NA;dry;both;Cloudy;25;4;4;0;0;0;0;0;1;0;0;0;0;1;0;0;9;0;0;71;0;0;2;0;0;92;0.291666667
4;OsBalaguer;AJ;21/06/2023;13:32;Wild;No;grass;Tall;dry;both;Cloudy;27;7;2;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;4;0;0;18;0.333333333
5;OsBalaguer;AJ;21/06/2023;13:38;Wild;No;grass;Tall;dry;both;Cloudy;27;3;0;1;0;0;0;5;3;0;0;0;0;2;0;0;6;0;0;2;0;0;2;0;0;24;0.333333333
6;OsBalaguer;AJ;21/06/2023;13:45;FieldLimit;No;grass;Short;dry;both;Cloudy;27;4;2;0;0;0;0;0;0;0;1;2;0;0;0;0;3;0;0;1;0;0;3;0;0;16;0.291666667
1;PlaRoquis;AJ;02/05/2023;10:43;Wild;No;grass;Tall;dry;flowers;Cloudy;16;1;3;0;0;0;0;1;0;0;1;0;0;3;0;0;1;0;0;116;0;0;4;0;0;130;0.333333333
1;PlaRoquis;AJ;25/05/2023;11:23;Wild;No;grass;Tall;dry;both;Cloudy;17;7;3;0;1;0;0;5;0;0;1;0;0;0;0;0;4;0;0;41;0;0;2;0;0;64;0.333333333
1;PlaRoquis;AJ;13/06/2023;11:14;Wild;No;grass;Tall;fresh;both;Cloudy;22;0;2;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;33;0;0;3;0;0;45;0.208333333
2;PlaRoquis;AJ;02/05/2023;10:36;Wild;No;grass;Short;dry;flowers;Cloudy;16;1;1;0;0;0;0;4;0;0;0;0;0;1;0;0;2;0;0;7;0;0;1;0;0;17;0.291666667
2;PlaRoquis;AJ;25/05/2023;11:16;Wild;No;grass;Short;dry;both;Cloudy;17;10;3;0;0;1;0;9;2;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;30;0.291666667
2;PlaRoquis;AJ;13/06/2023;11:06;Wild;No;grass;Short;dry;both;Cloudy;22;1;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;9;0;0;8;0;0;24;0.208333333
3;PlaRoquis;AJ;02/05/2023;10:30;Wild;No;shrubs;NA;dry;nonrep;Cloudy;16;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;11;0.25
3;PlaRoquis;AJ;25/05/2023;11:09;Wild;No;shrubs;NA;dry;nonrep;Cloudy;17;4;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;2;0;12;0.291666667
3;PlaRoquis;AJ;13/06/2023;10:59;Wild;No;shrubs;NA;dry;nonrep;Cloudy;22;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;2;0;0;10;0.166666667
4;PlaRoquis;AJ;02/05/2023;10:23;FieldLimit;No;grass;Short;dry;flowers;Cloudy;16;3;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;33;0;0;4;0;0;44;0.25
4;PlaRoquis;AJ;13/06/2023;10:52;FieldLimit;Yes;grass;Short;dry;flowers;Cloudy;22;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;1;0;0;28;0.208333333
5;PlaRoquis;AJ;02/05/2023;10:15;FieldLimit;No;grass;Tall;dry;flowers;Cloudy;15;3;4;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;13;0.25
5;PlaRoquis;MP;25/05/2023;11:15;FieldLimit;Yes;grass;Tall;fresh;seeds;Cloudy;17;18;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;23;0;0;1;0;0;47;0.208333333
6;PlaRoquis;AJ;02/05/2023;10:08;FieldLimit;No;grass;Short;dry;flowers;Cloudy;15;5;5;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;367;0;0;2;0;0;382;0.291666667
6;PlaRoquis;MP;25/05/2023;11:23;FieldLimit;Yes;grass;Short;dry;both;Cloudy;17;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;102;0;0;0;0;0;114;0.125
6;PlaRoquis;AJ;13/06/2023;10:21;FieldLimit;Yes;shrubs;NA;dry;both;Cloudy;21;4;1;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;81;0;0;9;0;0;99;0.25
1;Rabinat;AJ;21/06/2023;9:41;Wild;No;grass;Tall;dry;both;Cloudy;24;12;2;0;0;0;0;0;1;0;0;0;0;1;0;0;2;1;0;71;0;0;5;0;1;96;0.375
2;Rabinat;AJ;21/06/2023;9:49;Wild;No;grass;Tall;dry;both;Cloudy;24;11;8;0;0;1;0;2;2;0;0;0;0;1;0;0;3;0;0;4;0;0;3;0;3;38;0.416666667
3;Rabinat;AJ;21/06/2023;9:57;FieldLimit;No;grass;Short;dry;seeds;Cloudy;24;7;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;36;0;0;1;0;0;47;0.166666667
4;Rabinat;AJ;21/06/2023;10:02;FieldLimit;No;grass;Short;dry;both;Cloudy;25;4;1;0;0;0;0;4;2;0;0;0;0;2;0;0;1;0;0;76;0;0;0;0;0;90;0.291666667
3;RocaGuilla;AJ;25/05/2023;12:00;FieldLimit;No;grass;Tall;fresh;seeds;Cloudy;17;6;1;0;0;0;0;8;1;0;0;1;0;0;0;0;0;0;0;1;0;0;3;0;1;22;0.333333333
4;RocaGuilla;AJ;25/05/2023;12:07;FieldLimit;No;grass;Tall;fresh;seeds;Cloudy;18;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;8;0.125
5;RocaGuilla;AJ;25/05/2023;12:11;Wild;No;shrubs;NA;fresh;both;Cloudy;18;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;23;0;0;0;1;0;30;0.208333333
6;RocaGuilla;AJ;25/05/2023;12:18;FieldLimit;No;grass;Short;fresh;seeds;Cloudy;18;12;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;22;0.166666667
1;TossalFonta;AJ;07/06/2023;13:35;FieldLimit;No;shrubs;NA;dry;nonrep;Cloudy;24;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;3;0;0;14;0;0;10;1;0;31;0.291666667
1;TossalFonta;AJ;21/06/2023;10:54;FieldLimit;Yes;shrubs;NA;dry;nonrep;Cloudy;26;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;15;0;0;4;0;0;25;0.208333333
2;TossalFonta;AJ;07/06/2023;13:42;FieldLimit;No;shrubs;NA;dry;nonrep;Cloudy;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;9;0;0;7;0;0;19;0.166666667
2;TossalFonta;AJ;21/06/2023;10:59;FieldLimit;Yes;shrubs;NA;dry;nonrep;Cloudy;26;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;14;0;0;2;0;0;22;0.208333333
3;TossalFonta;AJ;07/06/2023;13:47;FieldLimit;No;shrubs;NA;dry;nonrep;Cloudy;24;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;10;0;0;2;1;0;19;0.291666667
3;TossalFonta;AJ;21/06/2023;11:07;FieldLimit;Yes;shrubs;NA;dry;nonrep;Cloudy;26;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;9;0;0;8;0;0;21;0.166666667
4;TossalFonta;MB;18/05/2023;11:27;Wild;No;grass;Tall;dry;flowers;Cloudy;17;17;3;0;0;0;0;5;0;0;0;1;0;5;0;0;3;0;0;51;0;0;1;1;0;87;0.375
4;TossalFonta;AJ;07/06/2023;13:57;Wild;No;grass;Short;dry;both;Cloudy;24;14;3;0;0;0;0;3;0;0;0;3;0;1;0;0;0;0;0;9;0;0;6;0;0;39;0.291666667
4;TossalFonta;AJ;21/06/2023;10:45;Wild;No;grass;Tall;dry;seeds;Cloudy;26;15;6;0;0;0;0;2;4;0;0;0;0;2;0;0;2;0;0;1;0;0;4;0;1;37;0.375
5;TossalFonta;AJ;07/06/2023;14:05;Wild;No;grass;Short;dry;both;Cloudy;24;8;7;0;0;0;0;5;2;0;0;1;0;2;0;0;1;0;0;4;0;0;2;0;0;32;0.375
5;TossalFonta;AJ;21/06/2023;10:35;Wild;No;grass;Tall;dry;seeds;Cloudy;26;8;7;0;1;0;0;2;0;0;0;1;0;2;0;0;0;0;0;13;0;0;5;0;0;39;0.333333333
6;TossalFonta;MB;18/05/2023;11:28;Wild;No;grass;Short;dry;flowers;Cloudy;17;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;64;0;0;12;0;0;94;0.25
6;TossalFonta;AJ;07/06/2023;14:10;Wild;No;grass;Short;dry;both;Cloudy;25;19;1;0;2;0;0;5;0;0;0;2;0;1;0;0;0;0;0;3;0;0;14;0;1;48;0.375
6;TossalFonta;AJ;21/06/2023;10:31;Wild;No;grass;Tall;dry;both;Cloudy;25;3;2;0;0;0;0;2;2;0;0;1;0;3;0;0;0;0;0;113;0;0;5;0;1;132;0.375
4;TossalRodo;AJ;13/06/2023;13:56;Wild;No;shrubs;NA;dry;nonrep;Cloudy;24;7;1;0;0;0;0;1;0;0;0;0;0;0;0;0;10;0;0;8;0;0;1;0;0;28;0.25
5;TossalRodo;AJ;13/06/2023;14:01;Wild;No;shrubs;NA;dry;nonrep;Cloudy;24;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;10;0;0;0;0;0;26;0.166666667
6;TossalRodo;AJ;31/05/2023;14:15;Wild;No;shrubs;NA;dry;flowers;Cloudy;27;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5;1;0;6;0;0;1;0;0;16;0.25
6;TossalRodo;AJ;13/06/2023;14:05;Wild;No;shrubs;NA;dry;flowers;Cloudy;24;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;42;0;0;7;0;0;66;0.166666667
1;ValldelsPous;AJ;25/05/2023;9:54;FieldLimit;No;shrubs;NA;fresh;flowers;Cloudy;16;1;1;0;0;0;0;15;0;0;0;0;0;2;0;0;0;0;0;22;0;0;0;0;0;41;0.208333333
1;ValldelsPous;AJ;09/06/2023;9:55;FieldLimit;Yes;shrubs;NA;dry;flowers;Cloudy;21;2;1;0;1;0;0;13;3;0;0;0;0;0;0;0;3;0;0;21;0;0;7;0;0;51;0.333333333
2;ValldelsPous;AJ;25/05/2023;9:59;FieldLimit;No;grass;Tall;fresh;both;Cloudy;16;3;0;0;1;0;0;9;1;0;0;0;0;0;0;0;1;0;0;32;0;0;1;0;0;48;0.291666667
2;ValldelsPous;AJ;09/06/2023;10:01;FieldLimit;Yes;grass;Tall;dry;seeds;Cloudy;21;4;0;0;2;0;0;3;1;0;0;0;0;0;0;0;4;0;0;2;0;0;3;0;0;19;0.291666667
3;ValldelsPous;AJ;25/05/2023;10:06;FieldLimit;No;grass;Short;fresh;both;Cloudy;16;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;181;0;0;1;0;0;188;0.125
3;ValldelsPous;AJ;09/06/2023;10:07;FieldLimit;Yes;grass;Short;dry;both;Cloudy;21;4;0;0;1;0;0;3;0;0;0;0;0;0;0;0;2;0;0;28;0;0;6;0;0;44;0.25
4;ValldelsPous;AJ;25/05/2023;10:13;Wild;No;grass;Short;fresh;both;Cloudy;16;13;1;0;0;1;0;6;0;0;0;1;0;1;0;0;3;0;0;102;0;0;0;0;0;128;0.333333333
4;ValldelsPous;AJ;09/06/2023;10:21;Wild;No;grass;Short;dry;seeds;Cloudy;22;13;1;0;0;0;0;10;1;0;0;0;0;0;0;0;1;0;0;1;0;0;4;0;0;31;0.291666667
5;ValldelsPous;MP;25/05/2023;10:16;Wild;No;grass;Short;dry;both;Cloudy;16;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;6;0;0;105;0.125
5;ValldelsPous;AJ;09/06/2023;10:27;Wild;No;grass;Short;dry;nonrep;Cloudy;22;9;0;1;0;0;0;10;1;0;1;0;0;0;0;0;0;0;0;1;0;0;5;0;0;28;0.291666667
6;ValldelsPous;MP;25/05/2023;10:05;Wild;No;grass;Short;dry;both;Cloudy;16;69;0;0;0;0;0;0;0;0;1;0;0;1;0;0;3;0;0;63;0;0;3;0;0;140;0.25
6;ValldelsPous;AJ;09/06/2023;10:14;Wild;No;grass;Short;dry;both;Cloudy;21;28;1;0;0;0;0;19;1;0;0;0;0;1;0;0;2;0;0;2;0;0;2;0;0;56;0.333333333
1;Cadolles;AJ;01/06/2023;12:56;FieldLimit;Yes;grass;Short;dry;nonrep;CloudyRainy;19;8;2;0;0;0;0;2;2;0;0;1;0;0;0;0;2;0;0;4;0;0;5;0;0;26;0.333333333
2;Cadolles;AJ;01/06/2023;13:00;FieldLimit;Yes;grass;Short;dry;nonrep;CloudyRainy;19;4;1;0;0;0;0;1;0;0;0;1;0;2;0;0;3;0;0;7;0;0;5;0;0;24;0.333333333
5;PlaRoquis;AJ;13/06/2023;10:43;FieldLimit;Yes;grass;Tall;dry;both;CloudyRainy;21;10;5;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;6;0;0;9;0;0;36;0.25
1;Rabinat;AJ;01/06/2023;11:40;Wild;No;grass;Tall;dry;seeds;CloudyRainy;18;1;1;0;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0;10;0;0;7;0;8;37;0.291666667
2;Rabinat;AJ;01/06/2023;11:45;Wild;No;grass;Tall;dry;seeds;CloudyRainy;18;6;2;0;0;0;0;6;2;0;0;0;0;1;0;0;1;0;0;3;0;0;10;1;0;32;0.375
3;Rabinat;AJ;01/06/2023;11:51;FieldLimit;No;grass;Short;dry;seeds;CloudyRainy;18;5;1;0;0;0;0;6;1;0;0;0;0;0;0;0;2;0;0;3;0;0;1;0;0;19;0.291666667
4;Rabinat;AJ;01/06/2023;11:56;FieldLimit;No;grass;Short;dry;seeds;CloudyRainy;18;3;5;0;0;0;0;5;4;0;0;0;0;0;0;0;1;0;0;51;0;0;3;0;0;72;0.291666667
5;Rabinat;AJ;01/06/2023;12:03;Wild;No;grass;Tall;dry;both;CloudyRainy;18;2;1;0;0;0;0;6;0;0;0;0;0;0;0;0;4;0;0;124;0;0;0;0;2;139;0.25
6;Rabinat;AJ;01/06/2023;12:06;Wild;No;grass;Tall;dry;seeds;CloudyRainy;18;3;2;0;0;0;0;3;1;0;0;0;0;0;0;0;1;0;0;83;0;0;0;0;1;94;0.291666667
1;TossalRodo;AJ;13/06/2023;13:35;FieldLimit;No;grass;Short;fresh;flowers;CloudyRainy;24;2;10;0;0;0;0;1;0;1;0;0;0;1;0;0;10;0;0;4;0;0;5;0;0;34;0.333333333
2;TossalRodo;AJ;13/06/2023;13:42;FieldLimit;No;grass;Short;fresh;flowers;CloudyRainy;24;6;0;0;0;0;0;6;1;0;0;0;0;0;0;0;14;0;0;26;0;0;2;0;0;55;0.25
3;TossalRodo;AJ;13/06/2023;13:48;FieldLimit;No;grass;Short;fresh;flowers;CloudyRainy;24;5;3;2;0;0;0;2;1;0;0;0;0;0;0;0;11;0;0;0;0;0;13;0;0;37;0.291666667
1;ValldelsPous;AJ;13/06/2023;11:49;FieldLimit;Yes;grass;Tall;fresh;flowers;CloudyRainy;23;2;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;52;0;0;10;0;0;68;0.291666667
2;ValldelsPous;AJ;13/06/2023;11:55;FieldLimit;Yes;grass;Tall;fresh;seeds;CloudyRainy;23;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;11;0.166666667
3;ValldelsPous;AJ;13/06/2023;12:00;FieldLimit;Yes;grass;Short;fresh;both;CloudyRainy;23;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;33;0;0;6;0;0;42;0.208333333
4;ValldelsPous;AJ;13/06/2023;12:15;Wild;No;grass;Tall;fresh;both;CloudyRainy;24;11;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0.125
5;ValldelsPous;AJ;13/06/2023;12:21;Wild;No;grass;Short;fresh;nonrep;CloudyRainy;24;11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;14;0.125
6;ValldelsPous;AJ;13/06/2023;12:07;Wild;No;grass;Tall;fresh;both;CloudyRainy;24;33;3;0;1;0;0;9;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;49;0.291666667
1;RocaGuilla;AJ;25/05/2023;12:35;Wild;No;grass;Short;fresh;seeds;CloudyRainyWindy;19;5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;12;0.25
1;Cadolles;AJ;18/05/2023;12:14;FieldLimit;Yes;grass;Short;dry;nonrep;CloudyWindy;19;8;4;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;6;0;0;1;1;0;22;0.291666667
2;Cadolles;AJ;18/05/2023;12:25;FieldLimit;Yes;grass;Short;dry;nonrep;CloudyWindy;19;4;6;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;15;0;0;1;0;1;30;0.291666667
3;Cadolles;AJ;18/05/2023;12:31;FieldLimit;Yes;grass;Tall;dry;seeds;CloudyWindy;19;3;1;0;0;0;0;6;1;0;0;0;0;3;0;0;1;0;0;2;0;0;0;0;0;17;0.291666667
4;Cadolles;AJ;18/05/2023;12:37;Wild;No;grass;Short;dry;flowers;CloudyWindy;19;5;5;0;0;0;0;3;2;0;0;0;0;3;0;0;4;0;0;21;0;0;1;0;1;45;0.375
5;Cadolles;AJ;18/05/2023;12:44;Wild;No;shrubs;NA;dry;nonrep;CloudyWindy;19;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;4;0;0;1;0;0;1;0;0;10;0.25
6;Cadolles;AJ;18/05/2023;12:50;Wild;No;shrubs;NA;dry;nonrep;CloudyWindy;19;2;0;0;0;0;0;5;0;0;0;0;0;1;0;0;1;0;0;118;0;0;2;0;0;129;0.25
1;OsBalaguer;MB;18/05/2023;13:55;FieldLimit;No;grass;Short;dry;flowers;CloudyWindy;17;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;0;11;0;0;15;0.166666667
1;OsBalaguer;AJ;21/06/2023;13:08;FieldLimit;Yes;grass;Short;dry;both;CloudyWindy;27;4;5;3;0;1;0;2;2;0;0;0;0;2;1;0;0;0;0;2;0;0;2;0;0;24;0.416666667
